사건번호,사건명,case,year,month,day,해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상),lat,lon,lat2,lon2,timestamp
IC-2021-0436,"예인선 현대쥬베일호의 피예인부선 세경호, 어선 서원호 충돌사건",충돌,2021,5,18,9,40,08:00~12:00,봄,북,35.0,49,51,동,126.0,8,51,국내,서해영해,서해영해,세경호,2,2919.0,"1,000~5,000톤미만",기타선,0,0,0,0,0,35.83083333333334,126.1475,35.83,126.15,2021-05-18
IC-2021-0440,"어선 광명호, 어선 동인호 충돌사건",충돌,2021,5,20,13,20,12:00~16:00,봄,북,35.0,37,0,동,126.0,17,0,국내,서해영해,서해영해,광명호,1,4.99,3~5톤미만,어선,0,0,0,0,0,35.61666666666667,126.28333333333332,35.62,126.28,2021-05-20
IC-2021-0478,"어선 대경호, 어선 만풍호 충돌사건",충돌,2021,6,3,23,40,20:00~24:00,여름,북,35.0,59,13,동,126.0,24,15,국내,서해영해,서해영해,만풍호,2,2.99,2~3톤미만,어선,0,0,0,0,0,35.98694444444445,126.40416666666668,35.99,126.4,2021-06-03
IC-2021-0514,"어선 아영호, 어선 서해1호 충돌사건",충돌,2021,6,12,7,30,04:00~08:00,여름,북,35.0,51,22,동,126.0,14,56,국내,서해영해,서해영해,아영호,1,2.8,2~3톤미만,어선,0,0,0,2,2,35.85611111111111,126.24888888888889,35.86,126.25,2021-06-12
IC-2021-0529,"낚시어선 벤틀리호, 고무보트 선명무 충돌사건",충돌,2021,6,19,11,15,08:00~12:00,여름,북,35.0,51,0,동,126.0,22,0,국내,서해영해,서해영해,선명무,2,0.0,미상,수상레저기구,0,0,0,1,1,35.85,126.36666666666666,35.85,126.37,2021-06-19
IC-2021-0538,"어선 해원호, 어선 209동성호 충돌사건",충돌,2021,6,20,21,20,20:00~24:00,여름,북,36.0,2,26,동,126.0,27,28,국내,서해영해,서해영해,해원호,1,9.77,5~10톤미만,어선,0,0,0,0,0,36.04055555555556,126.45777777777778,36.04,126.46,2021-06-20
MP-2021-0026,산적화물선 성우와이제이호/예인선 207황룡호 충돌사건,충돌,2021,1,10,15,32,12:00~16:00,겨울,북,33.0,31,15,동,126.0,32,9,국내,개항 및 진입수로,"제주항, 서귀포항",성우와이제이호,1,3560.0,"1,000~5,000톤미만",화물선,0,0,0,0,0,33.520833333333336,126.53583333333331,33.52,126.54,2021-01-10
MP-2021-0055,"어선 103매일호, 산적화물선 만다린차이나 충돌사건",충돌,2021,1,14,3,10,00:00~04:00,겨울,북,33.0,29,3,동,127.0,25,8,국외,남해공해,남해공해,만다린차이나,2,33044.0,"20,000~50,000톤미만",화물선,0,0,0,0,0,33.48416666666667,127.41888888888889,33.48,127.42,2021-01-14
MP-2021-0059,"액화석유가스운반선 제9에스제이가스, 케미칼운반선 케이티에스블루 충돌사건",충돌,2021,1,16,9,23,08:00~12:00,겨울,북,34.0,50,28,동,127.0,40,24,국내,남해영해,남해영해,제9에스제이가스,1,3465.0,"1,000~5,000톤미만",유조선,0,0,0,0,0,34.84111111111111,127.67333333333332,34.84,127.67,2021-01-16
MP-2021-0094,어선 제505덕운호/일반화물선 런펭 충돌사건,충돌,2021,1,29,17,56,16:00~20:00,겨울,북,34.0,19,0,동,126.0,6,0,국내,서해영해,서해영해,제505덕운호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.31666666666667,126.1,34.32,126.1,2021-01-29
MP-2021-0105,예인선 코렉스챔프의 피예인부선 코렉스20001호/어선 제17연정호 충돌사건,충돌,2021,2,3,21,17,20:00~24:00,겨울,북,34.0,28,37,동,127.0,59,14,국내,남해영해,남해영해,코렉스20001호,1,5102.0,"5,000~10,000톤미만",기타선,0,0,0,0,0,34.47694444444445,127.98722222222224,34.48,127.99,2021-02-03
MP-2021-0123,예인선 명진801호의 피예인부선 명진20002호/예인선 울산103호의 피예인부선 혜광비투호 충돌사건,충돌,2021,2,8,19,30,16:00~20:00,겨울,북,34.0,46,40,동,126.0,25,30,국내,개항 및 진입수로,목포항 및 진입수로,울산103호,2,96.0,50~100톤미만,예인선,0,0,0,0,0,34.77777777777778,126.425,34.78,126.43,2021-02-08
MP-2021-0124,카페리선 골드카페리호/석유제품운반선 클라비티 충돌사건,충돌,2021,2,8,10,52,08:00~12:00,겨울,북,34.0,48,43,동,126.0,21,48,국내,개항 및 진입수로,목포항 및 진입수로,클라비티,2,50000.0,"50,000~100,000톤미만",유조선,0,0,0,0,0,34.81194444444444,126.36333333333332,34.81,126.36,2021-02-08
MP-2021-0165,어선 777해양호/선명미상 부선 충돌사건,충돌,2021,3,1,14,27,12:00~16:00,봄,북,35.0,3,24,동,126.0,7,57,국내,서해영해,서해영해,777해양호,1,24.0,20~25톤미만,어선,0,0,0,0,0,35.056666666666665,126.1325,35.06,126.13,2021-03-01
MP-2021-0184,"어선 제97임수호, 액화석유가스운반선 구이페이 충돌사건",충돌,2021,3,9,5,53,04:00~08:00,봄,북,33.0,53,13,동,127.0,34,20,국내,남해영해,남해영해,제97임수호,1,138.0,100~500톤미만,어선,0,0,0,2,2,33.886944444444445,127.57222222222222,33.89,127.57,2021-03-09
MP-2021-0215,어선 어촌호/모터보트 태성3호 충돌사건,충돌,2021,3,23,13,10,12:00~16:00,봄,북,34.0,36,20,동,127.0,43,26,국내,남해영해,남해영해,태성3호,2,1.06,1~2톤미만,수상레저기구,0,0,0,2,2,34.605555555555554,127.7238888888889,34.61,127.72,2021-03-23
MP-2021-0218,어선 유진호/어선 중앙2호 충돌사건,충돌,2021,3,24,0,47,00:00~04:00,봄,북,34.0,43,7,동,127.0,24,27,국내,남해영해,남해영해,중앙2호,2,2.84,2~3톤미만,어선,0,0,0,1,1,34.71861111111112,127.4075,34.72,127.41,2021-03-24
MP-2021-0240,어선 305창남호/어선 88우양호 충돌사건,충돌,2021,2,3,23,5,20:00~24:00,겨울,북,33.0,38,40,동,125.0,40,30,국외,남해공해,남해공해,305창남호,1,219.0,100~500톤미만,어선,0,0,0,0,0,33.644444444444446,125.675,33.64,125.68,2021-02-03
MP-2021-0275,낚시어선 파이넥스호/낚시어선 시온호 충돌사건,충돌,2021,1,30,1,30,00:00~04:00,겨울,북,34.0,20,52,동,126.0,12,28,국내,서해영해,서해영해,시온호,2,9.77,5~10톤미만,어선,0,0,0,0,0,34.34777777777778,126.20777777777778,34.35,126.21,2021-01-30
MP-2021-0294,"카페리여객선 오션 비스타 제주, 해경함 3012함 충돌사건",충돌,2021,4,16,5,55,04:00~08:00,봄,북,33.0,31,39,동,126.0,32,32,국내,남해영해,남해영해,오션 비스타 제주,1,20584.0,"20,000~50,000톤미만",여객선,0,0,0,0,0,33.5275,126.54222222222222,33.53,126.54,2021-04-16
MP-2021-0324,어선 영성호/어선 대동호 충돌사건,충돌,2021,4,24,8,0,08:00~12:00,봄,북,34.0,31,43,동,127.0,32,13,국내,남해영해,남해영해,영성호,1,4.69,3~5톤미만,어선,0,0,0,0,0,34.52861111111111,127.53694444444444,34.53,127.54,2021-04-24
MP-2021-0387,낚시어선 글로리호/어선 동성호 충돌사건,충돌,2021,5,14,14,20,12:00~16:00,봄,북,34.0,1,36,동,127.0,18,27,국내,남해영해,남해영해,글로리호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.026666666666664,127.3075,34.03,127.31,2021-05-14
MP-2021-0395,낚시어선 성신3호/어선 기흥호 충돌사건,충돌,2021,5,19,13,22,12:00~16:00,봄,북,34.0,37,0,동,127.0,31,14,국내,남해영해,남해영해,기흥호,2,7.93,5~10톤미만,어선,0,0,0,0,0,34.61666666666667,127.52055555555556,34.62,127.52,2021-05-19
MP-2021-0403,어선 제207유진호/어선 기장호 충돌사건,충돌,2021,5,24,4,54,04:00~08:00,봄,북,33.0,31,8,동,126.0,31,50,국내,개항 및 진입수로,"제주항, 서귀포항",기장호,2,5.47,5~10톤미만,어선,0,0,0,0,0,33.51888888888889,126.53055555555557,33.52,126.53,2021-05-24
MP-2021-0452,"어선 혜수호, 모터보트 해호 충돌사건",충돌,2021,6,6,16,33,16:00~20:00,여름,북,33.0,34,6,동,126.0,49,52,국내,남해영해,남해영해,해호,2,2.47,2~3톤미만,수상레저기구,0,0,0,0,0,33.568333333333335,126.83111111111111,33.57,126.83,2021-06-06
MP-2021-0466,"어선 대창호, 어선 제3재신호 충돌사건",충돌,2021,6,9,16,49,16:00~20:00,여름,북,33.0,32,17,동,126.0,17,12,국내,남해영해,남해영해,제3재신호,2,7.31,5~10톤미만,어선,0,0,0,0,0,33.53805555555555,126.28666666666666,33.54,126.29,2021-06-09
MP-2021-0474,"어선 금성2호, 어선 동선호 충돌사건",충돌,2021,6,10,11,40,08:00~12:00,여름,북,34.0,48,10,동,126.0,21,47,국내,개항 및 진입수로,목포항 및 진입수로,금성2호,1,7.93,5~10톤미만,어선,0,0,0,0,0,34.80277777777778,126.36305555555556,34.8,126.36,2021-06-10
MP-2021-0477,여객선 유토피아호/기타선 태양호 충돌사건,충돌,2021,6,12,11,27,08:00~12:00,여름,북,34.0,41,0,동,125.0,26,0,국내,서해영해,서해영해,태양호,2,18.0,15~20톤미만,기타선,0,0,0,0,0,34.68333333333333,125.43333333333334,34.68,125.43,2021-06-12
MP-2021-0478,어선 해성호/무등록선박 진성호 충돌사건,충돌,2021,6,12,17,45,16:00~20:00,여름,북,34.0,28,0,동,127.0,26,33,국내,남해영해,남해영해,진성호,2,0.6,1톤미만,수상레저기구,0,0,0,1,1,34.46666666666667,127.4425,34.47,127.44,2021-06-12
MP-2021-0482,석유제품운반선 13대양호/어선 제207윤경호 충돌사건,충돌,2021,6,14,2,53,00:00~04:00,여름,북,34.0,44,0,동,127.0,44,0,국내,남해영해,남해영해,제207윤경호,2,35.0,30~50톤미만,어선,0,0,0,0,0,34.733333333333334,127.73333333333332,34.73,127.73,2021-06-14
MP-2021-0506,"어선 부영호, 모터보트 메탈샤크호 충돌사건",충돌,2021,6,15,7,32,04:00~08:00,여름,북,34.0,36,31,동,127.0,42,0,국내,남해영해,남해영해,부영호,1,2.47,2~3톤미만,어선,0,0,0,0,0,34.60861111111111,127.7,34.61,127.7,2021-06-15
